tripid,bikeid,starttime,stoptime,tripduration,O_id,O_name,O_lat,O_lon,D_id,D_name,D_lat,D_lon,usertype,gender,birth
7876,5929,53977,55493,"1,516.0",3,Shedd Aquarium,41.867225957,-87.61535539,35,Streeter Dr & Grand Ave,41.892278,-87.612043,Customer,,
7877,6356,53977,55193,"1,216.0",441,Kedzie Ave & 24th St,41.848190945,-87.705413746,442,California Ave & 23rd Pl,41.849109692,-87.695139807,Subscriber,Female,1974
7878,3635,53983,56904,"2,921.0",219,Damen Ave & Cortland St,41.915983,-87.677335,219,Damen Ave & Cortland St,41.915983,-87.677335,Subscriber,Female,1987
7879,2695,53984,54477,493.0,77,Clinton St & Madison St,41.882242,-87.641066,98,LaSalle St & Washington St,41.882664,-87.63253,Subscriber,Female,1982
7880,718,53989,54422,433.0,117,Wilton Ave & Belmont Ave,41.94018,-87.65304,250,Ashland Ave & Wellington Ave,41.936083,-87.669807,Subscriber,Female,1987
7881,757,53994,65514,"11,520.0",448,Warren Park East,42.004549622,-87.680666145,448,Warren Park East,42.004549622,-87.680666145,Customer,,
7882,2459,53998,54930,932.0,13,Wilton Ave & Diversey Pkwy,41.932418,-87.652705,254,Pine Grove Ave & Irving Park Rd,41.954383,-87.648043,Customer,,
7883,5828,53999,54614,615.0,57,Clinton St & Roosevelt Rd,41.867117783,-87.641087959,59,Wabash Ave & Roosevelt Rd,41.867227,-87.625961,Subscriber,Female,1998
7884,541,54013,54107,94.0,36,Franklin St & Jackson Blvd,41.877707956,-87.635321141,287,Franklin St & Monroe St,41.880317,-87.635185,Subscriber,Male,1994
7885,3130,54016,58098,"4,082.0",172,Rush St & Cedar St,41.902308701,-87.627690528,172,Rush St & Cedar St,41.902308701,-87.627690528,Customer,,
7886,559,54013,54523,510.0,46,Wells St & Walton St,41.89993001,-87.63443007,199,Wabash Ave & Grand Ave,41.891466,-87.626761,Subscriber,Male,1980
7887,724,54018,54704,686.0,459,Lakefront Trail & Bryn Mawr Ave,41.984036696,-87.652310469,463,Clark St & Berwyn Ave,41.977996654,-87.668047105,Subscriber,Male,1978
7888,4031,54020,55235,"1,215.0",99,Lake Shore Dr & Ohio St,41.89257,-87.614492,186,Ogden Ave & Race Ave,41.891795,-87.658751,Subscriber,Female,1987
